"country","city","type","canonical","osm","current_russian","current_english","needs_russian","needs_english","translation_russian","translation_english","review_status"
"UZ","almalyk","street","улица Ленина","way:258619715","улица Ленина","","","yes","ул. Ленина","Lenina St.","accepted"
"UZ","almalyk","street","Хамида Алимджана улица","way:228633602;way:257603653","Хамида Алимджана улица","","","yes","ул. Хамида Алимджана","Khamida Alimdzhana St.","accepted"
"UZ","almalyk","street","Худжаева улица","way:673162555","Худжаева улица","","","yes","ул. Худжаева","Khudzhaeva St.","accepted"
"UZ","almalyk","street","Яшинобод куча","way:491511474","Яшинобод куча | Яшинобод улица","","","yes","ул. Яшинобод","Yashinobod St.","accepted"
"UZ","almalyk","street","Abay tor ko'chasi","way:734895484","","Abay tor ko'chasi","yes","","пр. Абай","Abay Ln.","accepted"
"UZ","almalyk","street","Afrosiyob 1-berk ko'chasi","way:1389829739","","Afrosiyob 1-berk ko'chasi","yes","","1-й туп. Афросиаб","Afrosiyob 1st Dead End","accepted"
"UZ","almalyk","street","Afrosiyob 2-berk ko'chasi","way:1445676710","","Afrosiyob 2-berk ko'chasi","yes","","2-й туп. Афросиаб","Afrosiyob 2nd Dead End","accepted"
"UZ","almalyk","street","Afrosiyob ko'chasi","way:257416793","","Afrosiyob ko'chasi","yes","","ул. Афросиаб","Afrosiyob St.","accepted"
"UZ","almalyk","street","Ag‘zamov ko'chasi","way:257723048","","Ag‘zamov ko'chasi","yes","","ул. Агзамов","Ag'zamov St.","accepted"
"UZ","almalyk","street","Ahmad Yassaviy ko'chasi","way:1445815618","","Ahmad Yassaviy ko'chasi","yes","","ул. Ахмад Яссавий","Ahmad Yassaviy St.","accepted"
"UZ","almalyk","street","Alpomish ko'chasi","way:1223232081;way:228690064","","Alpomish ko'chasi","yes","","ул. Алпомиш","Alpomish St.","accepted"
"UZ","almalyk","street","Bahor 1-tor ko'chasi","way:257416830","","Bahor 1-tor ko'chasi","yes","","1-й пр. Бахор","Bahor 1st Ln.","accepted"
"UZ","almalyk","street","Barhayot ko'chasi","way:257413711","","Barhayot ko'chasi","yes","","ул. Бархаёт","Barhayot St.","accepted"
"UZ","almalyk","street","Barkamol ko'chasi","way:1047288378","","Barkamol ko'chasi","yes","","ул. Баркамол","Barkamol St.","accepted"
"UZ","almalyk","street","Bayram ko'chasi","way:1415097380","","Bayram ko'chasi","yes","","ул. Байрам","Bayram St.","accepted"
"UZ","almalyk","street","Bekobod tor ko'chasi","way:257724400","","Bekobod tor ko'chasi","yes","","пр. Бекобод","Bekobod Ln.","accepted"
"UZ","almalyk","street","Birdamlik 1-tor ko'chasi","way:1445809545;way:1445809546;way:257724393;way:257724399;way:257724401","","Birdamlik 1-tor ko'chasi","yes","","1-й пр. Бирдамлик","Birdamlik 1st Ln.","accepted"
"UZ","almalyk","street","Bog‘bon ko'chasi","way:257416834","","Bog‘bon ko'chasi","yes","","ул. Богбон","Bog'bon St.","accepted"
"UZ","almalyk","street","Bog‘ishamol ko'chasi","way:257728828","","Bog‘ishamol ko'chasi","yes","","ул. Богишамол","Bog'ishamol St.","accepted"
"UZ","almalyk","street","Buloqsoy ko'chasi","way:1445823912;way:257416785","","Buloqsoy ko'chasi","yes","","ул. Булоксой","Buloqsoy St.","accepted"
"UZ","almalyk","street","Buloqsoy tor ko'chasi","way:257416787","","Buloqsoy tor ko'chasi","yes","","пр. Булоксой","Buloqsoy Ln.","accepted"
"UZ","almalyk","street","Buyuklar ko'chasi","way:1446056154","","Buyuklar ko'chasi","yes","","ул. Буюклар","Buyuklar St.","accepted"
"UZ","almalyk","street","Chamanzor ko'chasi","way:257731582","","Chamanzor ko'chasi","yes","","ул. Чаманзор","Chamanzor St.","accepted"
"UZ","almalyk","street","Chambil ko'chasi","way:258737089","","Chambil ko'chasi","yes","","ул. Чамбил","Chambil St.","accepted"
"UZ","almalyk","street","Chirchiq ko'chasi","way:257416762;way:257416797;way:257416825","","Chirchiq ko'chasi","yes","","ул. Чирчик","Chirchiq St.","accepted"
"UZ","almalyk","street","Chuqursoy ko'chasi","way:257416819","","Chuqursoy ko'chasi","yes","","ул. Чукурсой","Chuqursoy St.","accepted"
"UZ","almalyk","street","Chuqursoy tor ko'chasi","way:1445815623","","Chuqursoy tor ko'chasi","yes","","пр. Чукурсой","Chuqursoy Ln.","accepted"
"UZ","almalyk","street","Farhod ko'chasi","way:257723074","","Farhod ko'chasi","yes","","ул. Фарход","Farhod St.","accepted"
"UZ","almalyk","street","Farobiy ko'chasi","way:1415159286","","Farobiy ko'chasi","yes","","ул. Фароби","Farobiy St.","accepted"
"UZ","almalyk","street","Firdavsiy ko'chasi","way:257416815","","Firdavsiy ko'chasi","yes","","ул. Фирдавси","Firdavsiy St.","accepted"
"UZ","almalyk","street","Gulbahor ko'chasi","way:257728853","","Gulbahor ko'chasi","yes","","ул. Гулбахор","Gulbahor St.","accepted"
"UZ","almalyk","street","Gulobod ko'chasi","way:257724413","","Gulobod ko'chasi","yes","","ул. Гулобод","Gulobod St.","accepted"
"UZ","almalyk","street","Gultepa berk ko'chasi","way:257728820","","Gultepa berk ko'chasi","yes","","туп. Гултепа","Gultepa Dead End","accepted"
"UZ","almalyk","street","Gulzor ko'chasi","way:1215901446;way:1215901447;way:257603671","","Gulzor ko'chasi","yes","","ул. Гулзор","Gulzor St.","accepted"
"UZ","almalyk","street","Halqa ko'chasi","way:258737119","","Halqa ko'chasi","yes","","ул. Халка","Halqa St.","accepted"
"UZ","almalyk","street","Hamkorlik berk ko'chasi","way:1446021694","","Hamkorlik berk ko'chasi","yes","","туп. Хамкорлик","Hamkorlik Dead End","accepted"
"UZ","almalyk","street","Hamkorlik ko'chasi","way:228185472","","Hamkorlik ko'chasi","yes","","ул. Хамкорлик","Hamkorlik St.","accepted"
"UZ","almalyk","street","Ibrat ko'chasi","way:1445815624","","Ibrat ko'chasi","yes","","ул. Ибрат","Ibrat St.","accepted"
"UZ","almalyk","street","Iqtidor ko'chasi","way:228185471","","Iqtidor ko'chasi","yes","","ул. Иктидор","Iqtidor St.","accepted"
"UZ","almalyk","street","Jaloir ko'chasi","way:258737127","","Jaloir ko'chasi","yes","","ул. Джалоир","Jaloir St.","accepted"
"UZ","almalyk","street","Jaloliddin Manguberdi ko'chasi","way:257413707","","Jaloliddin Manguberdi ko'chasi","yes","","ул. Джалолиддин Мангуберди","Jaloliddin Manguberdi St.","accepted"
"UZ","almalyk","street","Jaloliddin Manguberdi tor ko'chasi","way:257723067","","Jaloliddin Manguberdi tor ko'chasi","yes","","пр. Джалолиддин Мангуберди","Jaloliddin Manguberdi Ln.","accepted"
"UZ","almalyk","street","Jumhuriyat ko'chasi","way:258737108;way:258737131","","Jumhuriyat ko'chasi","yes","","ул. Джумхурият","Jumhuriyat St.","accepted"
"UZ","almalyk","street","Katta chinor berk ko'chasi","way:1445815619;way:1445815620","","Katta chinor berk ko'chasi","yes","","туп. Катта чинор","Katta chinor Dead End","accepted"
"UZ","almalyk","street","Katta chinor ko'chasi","way:228690075","","Katta chinor ko'chasi","yes","","ул. Катта чинор","Katta chinor St.","accepted"
"UZ","almalyk","street","Ko‘kaldosh 1-tor ko'chasi","way:1445904222","","Ko‘kaldosh 1-tor ko'chasi","yes","","1-й пр. Кукалдош","Ko'kaldosh 1st Ln.","accepted"
"UZ","almalyk","street","Ko‘kaldosh 2-tor ko'chasi","way:257416821","","Ko‘kaldosh 2-tor ko'chasi","yes","","2-й пр. Кукалдош","Ko'kaldosh 2nd Ln.","accepted"
"UZ","almalyk","street","Ko‘kaldosh ko'chasi","way:257416839","","Ko‘kaldosh ko'chasi","yes","","ул. Кукалдош","Ko'kaldosh St.","accepted"
"UZ","almalyk","street","Ko‘rpasoy ko'chasi","way:257413712","","Ko‘rpasoy ko'chasi","yes","","ул. Курпасой","Ko'rpasoy St.","accepted"
"UZ","almalyk","street","Ko‘rpasoy tor ko'chasi","way:257723057","","Ko‘rpasoy tor ko'chasi","yes","","пр. Курпасой","Ko'rpasoy Ln.","accepted"
"UZ","almalyk","street","Lolazor tor ko'chasi","way:257723070","","Lolazor tor ko'chasi","yes","","пр. Лолазор","Lolazor Ln.","accepted"
"UZ","almalyk","street","Lutfiy ko'chasi","way:257728839","","Lutfiy ko'chasi","yes","","ул. Лутфий","Lutfiy St.","accepted"
"UZ","almalyk","street","Ma’naviyat ko'chasi","way:257724411","","Ma’naviyat ko'chasi","yes","","ул. Манавият","Ma'naviyat St.","accepted"
"UZ","almalyk","street","Mahmudxo‘ja Behbudiy ko'chasi","way:228662735;way:723730858;way:723730859","","Mahmudxo‘ja Behbudiy ko'chasi","yes","","ул. Махмудхуджа Бехбудий","Mahmudxo'ja Behbudiy St.","accepted"
"UZ","almalyk","street","Maktab ko'chasi","way:246099374","","Maktab ko'chasi","yes","","ул. Мактаб","Maktab St.","accepted"
"UZ","almalyk","street","Manguberdi 1-tor ko'chasi","way:257416758","","Manguberdi 1-tor ko'chasi","yes","","1-й пр. Мангуберди","Manguberdi 1st Ln.","accepted"
"UZ","almalyk","street","Manguberdi 2-tor ko'chasi","way:257416838","","Manguberdi 2-tor ko'chasi","yes","","2-й пр. Мангуберди","Manguberdi 2nd Ln.","accepted"
"UZ","almalyk","street","Mashhur tor ko'chasi","way:257416803","","Mashhur tor ko'chasi","yes","","пр. Машхур","Mashhur Ln.","accepted"
"UZ","almalyk","street","Mehr tor ko'chasi","way:1430513997","","Mehr tor ko'chasi","yes","","пр. Мехр","Mehr Ln.","accepted"
"UZ","almalyk","street","Munchoqtepa ko'chasi","way:1446359968","","Munchoqtepa ko'chasi","yes","","ул. Мунчоктепа","Munchoqtepa St.","accepted"
"UZ","almalyk","street","Navqiron tor ko'chasi","way:260092322","","Navqiron tor ko'chasi","yes","","пр. Навкирон","Navqiron Ln.","accepted"
"UZ","almalyk","street","Nurli hayot ko'chasi","way:618996072","","Nurli hayot ko'chasi","yes","","ул. Нурли хаёт","Nurli hayot St.","accepted"
"UZ","almalyk","street","Nurli hayot tor ko'chasi","way:1146778872","","Nurli hayot tor ko'chasi","yes","","пр. Нурли хаёт","Nurli hayot Ln.","accepted"
"UZ","almalyk","street","O‘qituvchilar ko'chasi","way:300606417","","O‘qituvchilar ko'chasi","yes","","ул. Укитувчилар","O'qituvchilar St.","accepted"
"UZ","almalyk","street","O‘rol Tansiqboyev ko'chasi","way:257738906","","O‘rol Tansiqboyev ko'chasi","yes","","ул. Урол Тансикбоев","O'rol Tansiqboyev St.","accepted"
"UZ","almalyk","street","O‘zbekiston tor ko'chasi","way:1445651592","","O‘zbekiston tor ko'chasi","yes","","пр. Узбекистон","O'zbekiston Ln.","accepted"
"UZ","almalyk","street","Olmaliqsoy berk ko'chasi","way:1284667684;way:734895482","","Olmaliqsoy berk ko'chasi","yes","","туп. Олмаликсой","Olmaliqsoy Dead End","accepted"
"UZ","almalyk","street","Olmazor ko'chasi","way:257416802","","Olmazor ko'chasi","yes","","ул. Олмазор","Olmazor St.","accepted"
"UZ","almalyk","street","Osiyo ko'chasi","way:257416770;way:257416781","","Osiyo ko'chasi","yes","","ул. Осиё","Osiyo St.","accepted"
"UZ","almalyk","street","Paxtakor ko'chasi","way:257723062","","Paxtakor ko'chasi","yes","","ул. Пахтакор","Paxtakor St.","accepted"
"UZ","almalyk","street","Paxtakor tor ko'chasi","way:1415159287","","Paxtakor tor ko'chasi","yes","","пр. Пахтакор","Paxtakor Ln.","accepted"
"UZ","almalyk","street","Piskent ko'chasi","way:257416837","","Piskent ko'chasi","yes","","ул. Пискент","Piskent St.","accepted"
"UZ","almalyk","street","Pomir ko'chasi","way:257740928;way:257743075;way:257743092","","Pomir ko'chasi","yes","","ул. Помир","Pomir St.","accepted"
"UZ","almalyk","street","Qolmaqir tor ko'chasi","way:1224703920","","Qolmaqir tor ko'chasi","yes","","пр. Колмакир","Qolmaqir Ln.","accepted"
"UZ","almalyk","street","Qorasuv ko'chasi","way:45172381","","Qorasuv ko'chasi","yes","","ул. Корасув","Qorasuv St.","accepted"
"UZ","almalyk","street","Qoratog‘ tor ko'chasi","way:257724402","","Qoratog‘ tor ko'chasi","yes","","пр. Коратог'","Qoratog' Ln.","accepted"
"UZ","almalyk","street","Qori Niyoziy ko'chasi","way:257603664","","Qori Niyoziy ko'chasi","yes","","ул. Кори Ниёзий","Qori Niyoziy St.","accepted"
"UZ","almalyk","street","Qudrat ko'chasi","way:257723066","","Qudrat ko'chasi","yes","","ул. Кудрат","Qudrat St.","accepted"
"UZ","almalyk","street","Qushbegi ko'chasi","way:257416763;way:257416786;way:257416816;way:257416832","","Qushbegi ko'chasi","yes","","ул. Кушбеги","Qushbegi St.","accepted"
"UZ","almalyk","street","Registon ko'chasi","way:228662734","","Registon ko'chasi","yes","","ул. Регистон","Registon St.","accepted"
"UZ","almalyk","street","Rudakiy ko'chasi","way:1096063504","","Rudakiy ko'chasi","yes","","ул. Рудакий","Rudakiy St.","accepted"
"UZ","almalyk","street","Sada ko'chasi","way:257593431","","Sada ko'chasi","yes","","ул. Сада","Sada St.","accepted"
"UZ","almalyk","street","Sariq cho‘qqi ko'chasi","way:258619707","","Sariq cho‘qqi ko'chasi","yes","","ул. Сарик чукки","Sariq cho'qqi St.","accepted"
"UZ","almalyk","street","Sariq ko‘l ko'chasi","way:257724410","","Sariq ko‘l ko'chasi","yes","","ул. Сарик кул","Sariq ko'l St.","accepted"
"UZ","almalyk","street","Shabada ko'chasi","way:228690072","","Shabada ko'chasi","yes","","ул. Шабада","Shabada St.","accepted"
"UZ","almalyk","street","Sharof Rashidov berk ko'chasi","way:257416794","","Sharof Rashidov berk ko'chasi","yes","","туп. Шароф Рашидов","Sharof Rashidov Dead End","accepted"
"UZ","almalyk","street","Shifokorlar ko'chasi","way:258601181","","Shifokorlar ko'chasi","yes","","ул. Шифокорлар","Shifokorlar St.","accepted"
"UZ","almalyk","street","Shosh-iloq tor ko'chasi","way:257723069","","Shosh-iloq tor ko'chasi","yes","","пр. Шош-илок","Shosh-iloq Ln.","accepted"
"UZ","almalyk","street","Sokin ko'chasi","way:257603629","","Sokin ko'chasi","yes","","ул. Сокин","Sokin St.","accepted"
"UZ","almalyk","street","Tabarruk 1-tor ko'chasi","way:257416772","","Tabarruk 1-tor ko'chasi","yes","","1-й пр. Табаррук","Tabarruk 1st Ln.","accepted"
"UZ","almalyk","street","Tabarruk 2-tor ko'chasi","way:1445815622","","Tabarruk 2-tor ko'chasi","yes","","2-й пр. Табаррук","Tabarruk 2nd Ln.","accepted"
"UZ","almalyk","street","Tabassum ko'chasi","way:228185474","","Tabassum ko'chasi","yes","","ул. Табассум","Tabassum St.","accepted"
"UZ","almalyk","street","Terakzor ko'chasi","way:1446021695;way:257416778;way:257733461;way:257733464","","Terakzor ko'chasi","yes","","ул. Теракзор","Terakzor St.","accepted"
"UZ","almalyk","street","Tinchlik 1-tor ko'chasi","way:618996087","","Tinchlik 1-tor ko'chasi","yes","","1-й пр. Тинчлик","Tinchlik 1st Ln.","accepted"
"UZ","almalyk","street","Tinchlik 2-tor ko'chasi","way:1445809544","","Tinchlik 2-tor ko'chasi","yes","","2-й пр. Тинчлик","Tinchlik 2nd Ln.","accepted"
"UZ","almalyk","street","Tinchlik ko'chasi","way:45172374","","Tinchlik ko'chasi","yes","","ул. Тинчлик","Tinchlik St.","accepted"
"UZ","almalyk","street","Tojmahal berk ko'chasi","way:1446021696","","Tojmahal berk ko'chasi","yes","","туп. Тоджмахал","Tojmahal Dead End","accepted"
"UZ","almalyk","street","Totuvlik 1-tor ko'chasi","way:1215910942;way:1215910943;way:257723058;way:257748116","","Totuvlik 1-tor ko'chasi","yes","","1-й пр. Тотувлик","Totuvlik 1st Ln.","accepted"
"UZ","almalyk","street","Tunkent ko'chasi","way:257416828","","Tunkent ko'chasi","yes","","ул. Тункент","Tunkent St.","accepted"
"UZ","almalyk","street","Yoshlik ko'chasi","way:257738863","","Yoshlik ko'chasi","yes","","ул. Ёшлик","Yoshlik St.","accepted"
"UZ","almalyk","street","Zakovat ko'chasi","way:1445823920","","Zakovat ko'chasi","yes","","ул. Заковат","Zakovat St.","accepted"
"UZ","almalyk","street","Zarqaynar ko'chasi","way:228690073","","Zarqaynar ko'chasi","yes","","ул. Заркайнар","Zarqaynar St.","accepted"
"UZ","andijan","local_area","Бывший автомобильный рынок","way:172637322","Бывший автомобильный рынок","","","yes","Бывший автомобильный рынок","Former Automobile Market","accepted"
"UZ","andijan","street","1-я ул Кичик Окйор","way:123632460;way:123632464;way:123632566","1-я ул Кичик Окйор","","","yes","1-я ул. Кичик Окйор","Kichik Okyor 1st St.","accepted"
"UZ","andijan","street","2-я ул Кичик Окйор","way:123632697","2-я ул Кичик Окйор","","","yes","2-я ул. Кичик Окйор","Kichik Okyor 2nd St.","accepted"
"UZ","andijan","street","3-я улица Кичик","way:1091013753","3-я улица Кичик","","","yes","3-я ул. Кичик","Kichik 3rd St.","accepted"
"UZ","andijan","street","3-kichik daha","way:462697484","","3-kichik daha","yes","","кв-л 3-кичик","3-kichik Quarter","accepted"
"UZ","andijan","street","5 kichik daha","way:512027628","","5 kichik daha","yes","","кв-л 5 кичик","5 kichik Quarter","accepted"
"UZ","andijan","street","Индустриальная улица","way:290199255","Индустриальная улица","","","yes","ул. Индустриальная","Industrialnaya St.","accepted"
"UZ","andijan","street","Казанская улица","way:1123713896;way:27635576","Казанская улица","","","yes","ул. Казанская","Kazanskaya St.","accepted"
"UZ","andijan","street","Коканд Πереулок 2","way:123570285","Коканд Πереулок 2","","","yes","2-й пер. Коканд","Kokand 2nd Ln.","accepted"
"UZ","andijan","street","Минавварходжи 3 тор","way:508884402","Минавварходжи 3 тор","","","yes","3-й пр. Минавварходжи","Minavvarkhodzhi 3rd Ln.","accepted"
"UZ","andijan","street","Минаввархожи 1-тор","way:508887763","Минаввархожи 1-тор","","","yes","1-й пр. Минаввархожи","Minavvarkhozhi 1st Ln.","accepted"
"UZ","andijan","street","Минаввархожи 2 тор","way:508887762","Минаввархожи 2 тор","","","yes","2-й пр. Минаввархожи","Minavvarkhozhi 2nd Ln.","accepted"
"UZ","andijan","street","Минаввархожи 4-тор","way:508887914","Минаввархожи 4-тор","","","yes","4-й пр. Минаввархожи","Minavvarkhozhi 4th Ln.","accepted"
"UZ","andijan","street","Минаввархожи кўчаси","way:1513919768;way:444875345","Минаввархожи кўчаси","","","yes","ул. Минаввархожи","Minavvarkhozhi St.","accepted"
"UZ","andijan","street","проезд Саккаки","way:473757920","проезд Саккаки","","","yes","пр-д Саккаки","Sakkaki Passage","accepted"
"UZ","andijan","street","Узумзор улица","way:123632648","Узумзор улица","","","yes","ул. Узумзор","Uzumzor St.","accepted"
"UZ","andijan","street","Ул. Карим Махмудов","way:123632400","Ул. Карим Махмудов","","","yes","ул. Карим Махмудов","Karim Makhmudov St.","accepted"
"UZ","andijan","street","Ул. Маданият","way:1272007203","Ул. Маданият","","","yes","ул. Маданият","Madaniyat St.","accepted"
"UZ","andijan","street","Ул.Нажот","way:1080913525;way:1080913526;way:123632869","Ул.Нажот","","","yes","ул. Нажот","Nazhot St.","accepted"
"UZ","andijan","street","Ул.Хиндистон","way:123632601","Ул.Хиндистон","","","yes","ул. Хиндистон","Khindiston St.","accepted"
"UZ","andijan","street","Ул.Хужа","way:123632669;way:1532229808","Ул.Хужа","","","yes","ул. Хужа","Khuzha St.","accepted"
"UZ","andijan","street","улица Бойчечак","way:1262078260","улица Бойчечак","","","yes","ул. Бойчечак","Boychechak St.","accepted"
"UZ","andijan","street","улица Кизил Юлдуз","way:123632628","улица Кизил Юлдуз","","","yes","ул. Кизил Юлдуз","Kizil Yulduz St.","accepted"
"UZ","andijan","street","улица Муминова","way:470463893","улица Муминова","","","yes","ул. Муминова","Muminova St.","accepted"
"UZ","andijan","street","улица Мураббийлар","way:681001394","улица Мураббийлар","","","yes","ул. Мураббийлар","Murabbiylar St.","accepted"
"UZ","andijan","street","улица Мустакил Юрт","way:1318026484","улица Мустакил Юрт","","","yes","ул. Мустакил Юрт","Mustakil Yurt St.","accepted"
"UZ","andijan","street","улица Обод","way:1398844314;way:470200521","улица Обод","","","yes","ул. Обод","Obod St.","accepted"
"UZ","andijan","street","улица Рахимбобоева","way:1521413259","улица Рахимбобоева","","","yes","ул. Рахимбобоева","Rakhimboboeva St.","accepted"
"UZ","andijan","street","улица Сокинлик","way:123632577;way:1526364971","улица Сокинлик","","","yes","ул. Сокинлик","Sokinlik St.","accepted"
"UZ","andijan","street","улица Хакимова","way:123570362","улица Хакимова","","","yes","ул. Хакимова","Khakimova St.","accepted"
"UZ","andijan","street","Учкун улица","way:123632568","Учкун улица","","","yes","ул. Учкун","Uchkun St.","accepted"
"UZ","andijan","street","Чуама улица","way:123632301","Чуама улица","","","yes","ул. Чуама","Chuama St.","accepted"
"UZ","andijan","street","Янги Маориф улица","way:123632744","Янги Маориф улица","","","yes","ул. Янги Маориф","Yangi Maorif St.","accepted"
"UZ","andijan","street","Anisiy ko'chasi","way:679904026","","Anisiy ko'chasi","yes","","ул. Анисий","Anisiy St.","accepted"
"UZ","andijan","street","B.Naqshbandiy ko'chasi","way:1391524606;way:27635853","","B.Naqshbandiy ko'chasi","yes","","ул. Б.Накшбандий","B.Naqshbandiy St.","accepted"
"UZ","andijan","street","Birdamlik ko'chasi","way:123632604","","Birdamlik ko'chasi","yes","","ул. Бирдамлик","Birdamlik St.","accepted"
"UZ","andijan","street","Do'stlik ko'chasi","way:263833623","","Do'stlik ko'chasi","yes","","ул. Дустлик","Do'stlik St.","accepted"
"UZ","andijan","street","Eski O‘sh ko'chasi","way:123632349;way:1271887025","","Eski O‘sh ko'chasi","yes","","ул. Ески Уш","Eski O'sh St.","accepted"
"UZ","andijan","street","Farovon ko'chasi","way:123744901","","Farovon ko'chasi","yes","","ул. Фаровон","Farovon St.","accepted"
"UZ","andijan","street","Mashrab 1-tor ko'chasi","way:1425803738","","Mashrab 1-tor ko'chasi","yes","","1-й пр. Машраб","Mashrab 1st Ln.","accepted"
"UZ","andijan","street","Nabijon Oxunov ko'chasi","way:497165764","","Nabijon Oxunov ko'chasi","yes","","ул. Набиджон Охунов","Nabijon Oxunov St.","accepted"
"UZ","andijan","street","Navbaxor 2-tor koʻchasi","way:482439014","","Navbaxor 2-tor koʻchasi","yes","","2-й пр. Навбахор","Navbaxor 2nd Ln.","accepted"
"UZ","andijan","street","Nodira ko'chasi","way:123570301","","Nodira ko'chasi","yes","","ул. Нодира","Nodira St.","accepted"
"UZ","andijan","street","O. Sarkorov 3-tor koʻchasi","way:1546283321","","O. Sarkorov 3-tor koʻchasi","yes","","3-й пр. О. Саркоров","O. Sarkorov 3rd Ln.","accepted"
"UZ","andijan","street","Ogahiy ko'chasi","way:1091001818","","Ogahiy ko'chasi","yes","","ул. Огахий","Ogahiy St.","accepted"
"UZ","andijan","street","Qizil Sharq 2-tor koʻchasi","way:459157569","","Qizil Sharq 2-tor koʻchasi","yes","","2-й пр. Кизил Шарк","Qizil Sharq 2nd Ln.","accepted"
"UZ","andijan","street","Qizil Sharq ko'chasi","way:123632636","","Qizil Sharq ko'chasi","yes","","ул. Кизил Шарк","Qizil Sharq St.","accepted"
"UZ","andijan","street","Qori Niyoziy 5-tor ko'chasi","way:1118379391","","Qori Niyoziy 5-tor ko'chasi","yes","","5-й пр. Кори Ниёзий","Qori Niyoziy 5th Ln.","accepted"
"UZ","andijan","street","Qori Niyoziy ko'chasi","way:1118379392;way:1322472193;way:472994355","","Qori Niyoziy ko'chasi","yes","","ул. Кори Ниёзий","Qori Niyoziy St.","accepted"
"UZ","andijan","street","Sadiy ko'chasi","way:549084803","","Sadiy ko'chasi","yes","","ул. Садий","Sadiy St.","accepted"
"UZ","andijan","street","Sarikuy ko'chasi","way:202278966;way:474727270","","Sarikuy ko'chasi","yes","","ул. Сарикуй","Sarikuy St.","accepted"
"UZ","andijan","street","Shimoliy kichik daxa","way:526825890","","Shimoliy kichik daxa","yes","","кв-л Шимолий кичик","Shimoliy kichik Quarter","accepted"
"UZ","andijan","street","Termez ko'chasi","way:123570177","","Termez ko'chasi","yes","","ул. Термез","Termez St.","accepted"
"UZ","andijan","street","Urgench ko'chasi","way:480369583","","Urgench ko'chasi","yes","","ул. Ургенч","Urgench St.","accepted"
"UZ","andijan","street","Usmon Yusupov ko'chasi","way:1118379387;way:480776029","","Usmon Yusupov ko'chasi","yes","","ул. Усмон Юсупов","Usmon Yusupov St.","accepted"
"UZ","andijan","street","V.Azimov ko'chasi","way:1118403408","","V.Azimov ko'chasi","yes","","ул. В.Азимов","V.Azimov St.","accepted"
"UZ","andijan","street","Xarabek ko'chasi","way:713899827","","Xarabek ko'chasi","yes","","ул. Харабек","Xarabek St.","accepted"
"UZ","angren","local_area","Айналма","way:245583637","Айналма","","","yes","Айналма","Aynalma","accepted"
"UZ","angren","local_area","Апартак","way:244814872","Апартак","","","yes","Апартак","Apartak","accepted"
"UZ","angren","local_area","Бешкала урочище","way:246785329","Бешкала урочище","","","yes","Бешкала урочище","Beshkala urochishche","accepted"
"UZ","angren","local_area","Дархан","way:262327591","Дархан","","","yes","Дархан","Darkhan","accepted"
"UZ","angren","local_area","Джакиндек","way:995652605","Джакиндек","","","yes","Джакиндек","Dzhakindek","accepted"
"UZ","angren","local_area","Джанджал","way:262629371","Джанджал","","","yes","Джанджал","Dzhandzhal","accepted"
"UZ","angren","local_area","Джанибек","way:262629372","Джанибек","","","yes","Джанибек","Dzhanibek","accepted"
"UZ","angren","local_area","Каттачукур","way:246755400","Каттачукур","","","yes","Каттачукур","Kattachukur","accepted"
